Unnamed: 0,"Green GlowKoramangala, Bengaluru,Karnataka, India",Unnamed: 1,Assignees,Start date,"July 1, 2025",Location,-,Module Name,XYZ,"••••",m
,,,,,,,,,,,
Quality,,,Category,Due date,"July 5, 2025",Tags,Development,,,,
,,,,,,,,,,,
,,,,,,,,AN_Schema,"Inspection form 1 /2 /4 /07 /Jul /July /25 /Quality /July 10,2025 /QA Internal /July 4, 2025 01:42 pm /QA Internal/July 4, 2025 01:49 pm /XYZ",,
,,,,,,,,Module Number,-,,
,,,,,,,,PRN number,9678574,,
,,,,,,,,Slider,7,,
,,,,,,,,Module Description,"Accept notes property from API alongside service_objectfor attachments. Use the notes as filename and preserveoriginal extension or use original filename if notes is notavailable for generating download urls.",,
,,,,,,,,Module Working,Yes,,
,,,,,,,,Module Section 1,• Module Section 1,,
,,,,,,,,Module sub-section,Sub-section 1,,
,,,,,,,,Project Section,Project Section 1,,
,,,,,,,,Module Owner 1,,,
,,,,,,,,,,,
,,,,,,,,Module owner 2,"••••",,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,Module owner 3,,,
,,,,,,,,,,,
,,,,,,,,Module owner 4,m,,
,,,,,,,,,,,
,,,,,,,,Module owner 5,,,
,,,,,,,,,,,
,,,,,,,,Module Photo,Solar-image.jfif,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
